Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
mardi 3 avril 2012,Champions League,FC Barcelona,AC Milan,AC Milan,11,1,0,Penalty,Left foot,Won
mercredi 7 mars 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,84,7,0,,Left foot,Won
mercredi 7 mars 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,58,5,0,Rebound,Left foot,Won
mercredi 7 mars 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,42,2,0,,Left foot,Won
mercredi 7 mars 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,25,1,0,,Left foot,Won
mercredi 4 janvier 2012,,FC Barcelona,Osasuna,Osasuna,90+2,4,0,,Left foot,Won
vendredi 26 ao�t 2011,,FC Barcelona,FC Porto,FC Porto,39,1,0,,Left foot,Won
mercredi 17 ao�t 2011,,FC Barcelona,Real Madrid,Real Madrid,87,3,2,Field goal,Left foot,Won
samedi 28 mai 2011,Champions League,FC Barcelona,Manchester United,Manchester United,54,2,1,,Left foot,Won
mardi 8 mars 2011,Champions League,FC Barcelona,Arsenal,Arsenal,71,3,1,Penalty,Left foot,Won
mardi 8 mars 2011,Champions League,FC Barcelona,Arsenal,Arsenal,45+3,1,0,Field goal,Left foot,Won
mercredi 26 janvier 2011,,FC Barcelona,UD Almer�a,UD Almer�a,16,3,0,,Left foot,Won
mercredi 26 janvier 2011,,FC Barcelona,UD Almer�a,UD Almer�a,9,1,0,,Left foot,Won
mercredi 12 janvier 2011,,FC Barcelona,Real Betis,Real Betis,73,3,0,,Left foot,Won
mercredi 12 janvier 2011,,FC Barcelona,Real Betis,Real Betis,62,2,0,Rebound,Left foot,Won
mercredi 12 janvier 2011,,FC Barcelona,Real Betis,Real Betis,44,1,0,,Left foot,Won
mercredi 10 novembre 2010,,FC Barcelona,AD Ceuta,AD Ceuta,68,5,1,,Left foot,Won
mercredi 20 octobre 2010,Champions League,FC Barcelona,FC Copenhagen,FC Copenhagen,90+2,2,0,,Left foot,Won
mercredi 20 octobre 2010,Champions League,FC Barcelona,FC Copenhagen,FC Copenhagen,19,1,0,,Left foot,Won
mardi 14 septembre 2010,Champions League,FC Barcelona,Panathinaikos,Panathinaikos,45,3,1,,Left foot,Won
mardi 14 septembre 2010,Champions League,FC Barcelona,Panathinaikos,Panathinaikos,22,1,1,,Left foot,Won
samedi 21 ao�t 2010,,FC Barcelona,Sevilla,Sevilla,90,4,0,,Left foot,Won
samedi 21 ao�t 2010,,FC Barcelona,Sevilla,Sevilla,24,2,0,,Left foot,Won
mardi 6 avril 2010,Champions League,FC Barcelona,Arsenal,Arsenal,88,4,1,Rebound,Left foot,Won
mardi 6 avril 2010,Champions League,FC Barcelona,Arsenal,Arsenal,42,3,1,,Left foot,Won
mardi 6 avril 2010,Champions League,FC Barcelona,Arsenal,Arsenal,21,1,1,,Left foot,Won
mercredi 17 mars 2010,Champions League,FC Barcelona,VfB Stuttgart,VfB Stuttgart,60,3,0,,Left foot,Won
mercredi 17 mars 2010,Champions League,FC Barcelona,VfB Stuttgart,VfB Stuttgart,13,1,0,Solo run,Left foot,Won
mardi 10 novembre 2009,,FC Barcelona,Cultural Leonesa,Cultural Leonesa,64,4,0,,Left foot,Won
mardi 29 septembre 2009,Champions League,FC Barcelona,Dynamo Kyiv,Dynamo Kyiv,26,1,0,,Left foot,Won
dimanche 23 ao�t 2009,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,68,2,0,Penalty,Left foot,Won
mercredi 8 avril 2009,Champions League,FC Barcelona,Bayern M�nchen,Bayern M�nchen,9,1,0,,Left foot,Won
mercredi 11 mars 2009,Champions League,FC Barcelona,Olympique Lyon,Olympique Lyon,40,3,0,,Left foot,Won
mercredi 12 novembre 2008,,FC Barcelona,Benidorm,Benidorm,87,1,0,Rebound,Left foot,Won
mardi 4 novembre 2008,Champions League,FC Barcelona,FC Basel,FC Basel,62,1,0,,Left foot,Draw
mercredi 7 novembre 2007,Champions League,FC Barcelona,Glasgow Rangers,Glasgow Rangers,43,2,0,Rebound,Left foot,Won
mercredi 19 septembre 2007,Champions League,FC Barcelona,Olympique Lyon,Olympique Lyon,83,2,0,,Left foot,Won
mercredi 18 avril 2007,,FC Barcelona,Getafe,Getafe,45,3,0,,Left foot,Won
mercredi 2 novembre 2005,Champions League,FC Barcelona,Panathinaikos,Panathinaikos,34,3,0,,Left foot,Won
mardi 26 juin 2018,World Cup,Nigeria,Nigeria,Argentina,14,0,1,Field goal,Right foot,Won
mardi 29 mai 2018,,Argentina,Haiti,Haiti,66,3,0,Field goal,Left foot,Won
mardi 29 mai 2018,,Argentina,Haiti,Haiti,58,2,0,Rebound,Right foot,Won
mardi 29 mai 2018,,Argentina,Haiti,Haiti,17,1,0,Penalty,Left foot,Won
mardi 10 octobre 2017,,Ecuador,Ecuador,Argentina,63,1,3,Field goal,Left foot,Won
mardi 10 octobre 2017,,Ecuador,Ecuador,Argentina,20,1,2,Field goal,Left foot,Won
mardi 10 octobre 2017,,Ecuador,Ecuador,Argentina,12,1,1,Field goal,Left foot,Won
jeudi 23 mars 2017,,Argentina,Chile,Chile,16,1,0,Penalty,Left foot,Won
mardi 15 novembre 2016,,Argentina,Colombia,Colombia,10,1,0,Free kick,Left foot,Won
jeudi 1 septembre 2016,,Argentina,Uruguay,Uruguay,43,1,0,Field goal,Left foot,Won
mardi 21 juin 2016,Copa America,United States,United States,Argentina,32,0,2,Free kick,Left foot,Won
samedi 18 juin 2016,Copa America,Argentina,Venezuela,Venezuela,60,3,0,Field goal,Left foot,Won
vendredi 10 juin 2016,Copa America,Argentina,Panama,Panama,87,4,0,Field goal,Left foot,Won
vendredi 10 juin 2016,Copa America,Argentina,Panama,Panama,78,3,0,Free kick,Left foot,Won
vendredi 10 juin 2016,Copa America,Argentina,Panama,Panama,68,2,0,Field goal,Left foot,Won
mardi 29 mars 2016,,Argentina,Bolivia,Bolivia,30,2,0,Penalty,Left foot,Won
mardi 8 septembre 2015,,Argentina,Mexico,Mexico,88,2,2,Field goal,Left foot,Draw
vendredi 4 septembre 2015,,Argentina,Bolivia,Bolivia,74,6,0,Field goal,Left foot,Won
vendredi 4 septembre 2015,,Argentina,Bolivia,Bolivia,66,5,0,Field goal,Head,Won
samedi 13 juin 2015,Copa America,Argentina,Paraguay,Paraguay,35,2,0,Penalty,Left foot,Draw
mercredi 12 novembre 2014,,Argentina,Croatia,Croatia,57,2,1,Penalty,Left foot,Won
mardi 14 octobre 2014,,Hong Kong,Hong Kong,Argentina,84,0,7,Solo run,Left foot,Won
mardi 14 octobre 2014,,Hong Kong,Hong Kong,Argentina,66,0,5,,Left foot,Won
mercredi 25 juin 2014,World Cup,Nigeria,Nigeria,Argentina,45+1,1,2,Free kick,Left foot,Won
mercredi 25 juin 2014,World Cup,Nigeria,Nigeria,Argentina,3,0,1,Rebound,Left foot,Won
samedi 21 juin 2014,World Cup,Argentina,Iran,Iran,90+1,1,0,,Left foot,Won
lundi 16 juin 2014,World Cup,Argentina,Bosnia-Herzegovina,Bosnia-Herzegovina,65,2,0,Solo run,Left foot,Won
samedi 7 juin 2014,,Argentina,Slovenia,Slovenia,75,2,0,Field goal,Left foot,Won
mercredi 11 septembre 2013,,Paraguay,Paraguay,Argentina,52,1,4,Penalty,Left foot,Won
